ID_wizyty;ID_klientki;Data;Usluga;Cena;Pracownik;Uwagi
1;6;2025-04-30;Strzyżenie damskie;70;Marta Zielińska;Alergia na amoniak
2;13;2025-05-02;Prostowanie;80;Marta Zielińska;Klientka zadowolona
3;13;2025-05-07;Upięcie okolicznościowe;150;Marta Zielińska;Klientka zadowolona
4;9;2025-05-10;Pasemka;260;Marta Zielińska;
5;13;2025-05-13;Tonowanie;90;Karolina Bąk;Klientka zadowolona
6;2;2025-05-17;Baleyage;320;Karolina Bąk;Klientka zadowolona
7;32;2025-05-21;Tonowanie;90;Ewa Kowalczyk;
8;26;2025-05-30;Koloryzacja jednolita;180;Natalia Woźniak;Alergia na amoniak
9;30;2025-05-31;Tonowanie;90;Natalia Woźniak;
10;2;2025-06-04;Maska regenerująca;60;Natalia Woźniak;Alergia na amoniak
11;4;2025-06-05;Koloryzacja jednolita;180;Ewa Kowalczyk;Spóźniła się 15 min
12;35;2025-06-11;Podcięcie końcówek;50;Natalia Woźniak;Klientka zadowolona
13;8;2025-06-14;Prostowanie;80;Natalia Woźniak;
14;14;2025-06-14;Modelowanie;60;Natalia Woźniak;
15;21;2025-06-14;Tonowanie;90;Marta Zielińska;
16;39;2025-06-21;Maska regenerująca;60;Natalia Woźniak;Alergia na amoniak
17;6;2025-06-25;Pasemka;260;Karolina Bąk;
18;14;2025-06-26;Koloryzacja jednolita;180;Ewa Kowalczyk;Prosi o tę samą fryzjerkę
19;38;2025-06-27;Keratynowe prostowanie;350;Marta Zielińska;Spóźniła się 15 min
20;6;2025-06-28;Modelowanie;60;Karolina Bąk;Alergia na amoniak
21;19;2025-06-30;Keratynowe prostowanie;350;Marta Zielińska;
22;4;2025-07-03;Koloryzacja jednolita;180;Natalia Woźniak;
23;39;2025-07-07;Prostowanie;80;Ewa Kowalczyk;
24;6;2025-07-10;Strzyżenie damskie;70;Marta Zielińska;Klientka zadowolona
25;12;2025-07-11;Koloryzacja jednolita;180;Karolina Bąk;Klientka zadowolona
26;33;2025-07-12;Keratynowe prostowanie;350;Marta Zielińska;
27;33;2025-07-16;Podcięcie końcówek;50;Ewa Kowalczyk;
28;26;2025-07-17;Botoks na włosy;200;Karolina Bąk;Alergia na amoniak
29;26;2025-07-19;Pasemka;260;Ewa Kowalczyk;Klientka zadowolona
30;35;2025-07-21;Tonowanie;90;Karolina Bąk;Spóźniła się 15 min
31;9;2025-07-22;Pasemka;260;Marta Zielińska;Prosi o tę samą fryzjerkę
32;36;2025-07-23;Keratynowe prostowanie;350;Ewa Kowalczyk;
33;2;2025-07-25;Koloryzacja jednolita;180;Marta Zielińska;
