Data;Produkt;Kategoria;Sprzedawca;Ilosc;Cena_jednostkowa
2025-09-01;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;3;2,49
2025-09-03;Krem do rąk 100 ml;Kosmetyki;Adam Nowicki;1;12,99
2025-09-04;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;2;2,49
2025-09-05;Odżywka regenerująca 300 ml;Kosmetyki;Beata Szymańska;2;27,50
2025-09-05;Sok pomarańczowy 1 l;Napoje;Adam Nowicki;2;5,99
2025-09-09;Napój izotoniczny 500 ml;Napoje;Dorota Kubiak;1;4,49
2025-09-11;Płyn do naczyń 1 l;Chemia;Cezary Mazur;3;9,99
2025-09-12;Farba do włosów;Kosmetyki;Cezary Mazur;1;34,90
2025-09-12;Płyn do naczyń 1 l;Chemia;Adam Nowicki;6;9,99
2025-09-12;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;1;2,49
2025-09-12;Krem do rąk 100 ml;Kosmetyki;Beata Szymańska;1;12,99
2025-09-12;Farba do włosów;Kosmetyki;Adam Nowicki;2;34,90
2025-09-13;Grzebień drewniany;Akcesoria;Dorota Kubiak;3;8,50
2025-09-13;Płyn do naczyń 1 l;Chemia;Cezary Mazur;1;9,99
2025-09-13;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;10;2,49
2025-09-13;Szczotka do włosów;Akcesoria;Dorota Kubiak;2;19,99
2025-09-15;Szampon nawilżający 400 ml;Kosmetyki;Adam Nowicki;5;24,99
2025-09-16;Mydło w płynie 500 ml;Chemia;Cezary Mazur;1;7,49
2025-09-16;Farba do włosów;Kosmetyki;Beata Szymańska;1;34,90
2025-09-16;Ręcznik frotte;Akcesoria;;5;24,00
2025-09-16;Woda mineralna 1500 ml;Napoje;Beata Szymańska;3;2,49
2025-09-19;Sok pomarańczowy 1 l;Napoje;Dorota Kubiak;5;5,99
2025-09-19;Lokówka;Akcesoria;Beata Szymańska;2;89,00
2025-09-20;Płyn do naczyń 1 l;Chemia;Dorota Kubiak;1;9,99
20.09.2025;Woda mineralna 1500 ml;Napoje;Adam Nowicki;2;2,49
2025-09-20;Szampon nawilżający 400 ml;Kosmetyki;Cezary Mazur;1;24,99
2025-09-22;Płyn do naczyń 1 l;Chemia;Adam Nowicki;1;9,99
2025-09-23;Proszek do prania 3 kg;Chemia;Cezary Mazur;4;39,90
2025-09-24;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;2;2,49
2025-09-25;Mydło w płynie 500 ml;chemia;Beata Szymańska;2;7,49
2025-09-25;Sok pomarańczowy 1 l  ;Napoje;Cezary Mazur;1;5,99
2025-09-26;Grzebień drewniany;Akcesoria;Cezary Mazur;1;8,50
2025-09-26;Farba do włosów;Kosmetyki;Beata Szymańska;1;34,90
2025-09-26;Płyn do płukania 1 l;Chemia;Dorota Kubiak;1;16,50
2025-09-26;Napój izotoniczny 500 ml;Napoje;Cezary Mazur;1;4,49
2025-09-27;Płyn do naczyń 1 l;Chemia;;1;9,99
2025-09-27;Krem do rąk 100 ml;Kosmetyki;Cezary Mazur;1;12,99
30.09.2025;Szczotka do włosów;Akcesoria;Dorota Kubiak;2;19,99
2025-10-02;Grzebień drewniany;Akcesoria;Adam Nowicki;4;8,50
2025-10-02;Proszek do prania 3 kg;Chemia;Beata Szymańska;3;39,90
2025-10-03;Odżywka regenerująca 300 ml;Kosmetyki;Cezary Mazur;6;27,50
2025-10-03;Sok pomarańczowy 1 l;Napoje;Adam Nowicki;3;5,99
2025-10-03;Mydło w płynie 500 ml;Chemia;Cezary Mazur;3;7,49
2025-10-03;Grzebień drewniany;Akcesoria;Cezary Mazur;1;8,50
2025-10-03;Odżywka regenerująca 300 ml;Kosmetyki;;2;27,50
2025-10-06;Proszek do prania 3 kg;Chemia;Beata Szymańska;2;39,90
2025-10-06;Płyn do naczyń 1 l  ;Chemia;Adam Nowicki;2;9,99
2025-10-07;Płyn do naczyń 1 l;Chemia;Dorota Kubiak;4;9,99
2025-10-07;Proszek do prania 3 kg;chemia;Adam Nowicki;1;39,90
2025-10-07;Odżywka regenerująca 300 ml;Kosmetyki;Beata Szymańska;1;27,50
2025-10-08;Woda mineralna 1500 ml;Napoje;Dorota Kubiak;5;2,49
2025-10-08;Napój izotoniczny 500 ml;Napoje;Dorota Kubiak;3;4,49
