Data;Klientka;Usluga;Kategoria;Pracownik;Czas_min;Cena
2025-09-01;Magdalena Sikora;Strzyżenie męskie;Strzyżenie;Natalia Woźniak;20;45
2025-09-03;Karolina Baran;Strzyżenie damskie;Strzyżenie;Ewa Kowalczyk;50;70
2025-09-04;Magdalena Górska;Pasemka;Koloryzacja;Marta Zielińska;150;260
2025-09-05;Paulina Nowak;Zabieg nawilżający;Pielęgnacja;Karolina Bąk;40;80
2025-09-05;Agnieszka Nowak;Strzyżenie damskie;Strzyżenie;Marta Zielińska;35;70
2025-09-05;Renata Adamczyk;Baleyage;Koloryzacja;Natalia Woźniak;185;320
2025-09-06;Beata Jabłońska;Strzyżenie męskie;Strzyżenie;Karolina Bąk;25;45
2025-09-06;Agnieszka Pawlak;Keratynowe prostowanie;Pielęgnacja;Marta Zielińska;190;350
2025-09-10;Barbara Nowak;Fale;Stylizacja;Marta Zielińska;40;70
2025-09-12;Patrycja Zając;Prostowanie;Stylizacja;Ewa Kowalczyk;45;80
2025-09-12;Dominika Duda;Fale;Stylizacja;Karolina Bąk;40;70
2025-09-12;Ewelina Wójcik;Zabieg nawilżający;Pielęgnacja;Natalia Woźniak;55;80
2025-09-12;Paulina Zając;Strzyżenie męskie;Strzyżenie;Marta Zielińska;45;45
2025-09-12;Sylwia Witkowska;Botoks na włosy;Pielęgnacja;Ewa Kowalczyk;90;200
2025-09-12;Anna Baran;Podcięcie końcówek;Strzyżenie;Ewa Kowalczyk;40;50
2025-09-12;Patrycja Król;Maska regenerująca;Pielęgnacja;Natalia Woźniak;25;60
2025-09-13;Dominika Wieczorek;Pasemka;Koloryzacja;Ewa Kowalczyk;150;260
2025-09-13;Renata Kamińska;Strzyżenie męskie;Strzyżenie;Ewa Kowalczyk;35;45
2025-09-13;Dominika Duda;Prostowanie;Stylizacja;Karolina Bąk;30;80
2025-09-16;Agnieszka Jabłońska;Botoks na włosy;Pielęgnacja;Karolina Bąk;85;200
2025-09-16;Anna Król;Modelowanie;Stylizacja;Marta Zielińska;30;60
2025-09-16;Aleksandra Wieczorek;Botoks na włosy;Pielęgnacja;Karolina Bąk;100;200
2025-09-17;Iwona Michalak;Strzyżenie damskie;Strzyżenie;Natalia Woźniak;45;70
2025-09-18;Karolina Król;Zabieg nawilżający;Pielęgnacja;Ewa Kowalczyk;40;80
2025-09-18;Barbara Adamczyk;Strzyżenie damskie;Strzyżenie;Marta Zielińska;35;70
2025-09-19;Barbara Jabłońska;Maska regenerująca;Pielęgnacja;Marta Zielińska;20;60
2025-09-19;Ewelina Król;Podcięcie końcówek;Strzyżenie;Karolina Bąk;30;50
2025-09-19;Renata Jabłońska;Koloryzacja jednolita;Koloryzacja;Ewa Kowalczyk;110;180
2025-09-20;Agnieszka Jabłońska;Strzyżenie męskie;Strzyżenie;Karolina Bąk;30;45
2025-09-20;Patrycja Baran;Prostowanie;Stylizacja;Natalia Woźniak;55;80
2025-09-20;Iwona Lewandowska;Upięcie okolicznościowe;Stylizacja;Ewa Kowalczyk;85;150
2025-09-20;Karolina Baran;Koloryzacja jednolita;Koloryzacja;Ewa Kowalczyk;115;180
2025-09-24;Renata Duda;Fale;Stylizacja;Ewa Kowalczyk;55;70
2025-09-24;Ewelina Witkowska;Strzyżenie damskie;Strzyżenie;Natalia Woźniak;50;70
2025-09-26;Klaudia Kamińska;Strzyżenie damskie;Strzyżenie;Ewa Kowalczyk;35;70
2025-09-27;Paulina Witkowska;Modelowanie;Stylizacja;Marta Zielińska;40;60
2025-09-29;Paulina Wójcik;Fale;Stylizacja;Karolina Bąk;55;70
2025-10-02;Barbara Lewandowska;Koloryzacja jednolita;Koloryzacja;Karolina Bąk;110;180
2025-10-03;Ewelina Lewandowska;Modelowanie;Stylizacja;Natalia Woźniak;25;60
2025-10-03;Agnieszka Wieczorek;Fale;Stylizacja;Karolina Bąk;40;70
2025-10-04;Anna Kamińska;Modelowanie;Stylizacja;Marta Zielińska;35;60
2025-10-06;Weronika Nowak;Strzyżenie damskie;Strzyżenie;Ewa Kowalczyk;55;70
2025-10-06;Anna Sikora;Strzyżenie damskie;Strzyżenie;Natalia Woźniak;35;70
2025-10-09;Agnieszka Witkowska;Strzyżenie dziecięce;Strzyżenie;Ewa Kowalczyk;35;35
2025-10-09;Dominika Kamińska;Modelowanie;Stylizacja;Karolina Bąk;25;60
2025-10-09;Barbara Jabłońska;Modelowanie;Stylizacja;Natalia Woźniak;35;60
2025-10-10;Dominika Wieczorek;Prostowanie;Stylizacja;Marta Zielińska;45;80
2025-10-11;Beata Król;Strzyżenie damskie;Strzyżenie;Marta Zielińska;45;70
2025-10-11;Magdalena Kamińska;Koloryzacja jednolita;Koloryzacja;Natalia Woźniak;130;180
2025-10-11;Patrycja Witkowska;Strzyżenie damskie;Strzyżenie;Karolina Bąk;45;70
2025-10-13;Patrycja Michalak;Podcięcie końcówek;Strzyżenie;Natalia Woźniak;40;50
2025-10-15;Katarzyna Wójcik;Pasemka;Koloryzacja;Karolina Bąk;140;260
2025-10-17;Sylwia Adamczyk;Baleyage;Koloryzacja;Ewa Kowalczyk;180;320
2025-10-17;Magdalena Nowak;Modelowanie;Stylizacja;Natalia Woźniak;30;60
2025-10-17;Justyna Michalak;Baleyage;Koloryzacja;Karolina Bąk;190;320
2025-10-18;Patrycja Lewandowska;Keratynowe prostowanie;Pielęgnacja;Karolina Bąk;175;350
2025-10-18;Klaudia Górska;Strzyżenie damskie;Strzyżenie;Natalia Woźniak;55;70
2025-10-18;Patrycja Witkowska;Strzyżenie dziecięce;Strzyżenie;Natalia Woźniak;25;35
2025-10-18;Sylwia Wieczorek;Modelowanie;Stylizacja;Ewa Kowalczyk;30;60
2025-10-23;Anna Wójcik;Strzyżenie męskie;Strzyżenie;Natalia Woźniak;45;45
2025-10-24;Paulina Witkowska;Strzyżenie męskie;Strzyżenie;Karolina Bąk;30;45
2025-10-24;Renata Zając;Podcięcie końcówek;Strzyżenie;Marta Zielińska;30;50
2025-10-25;Aleksandra Michalak;Strzyżenie damskie;Strzyżenie;Natalia Woźniak;55;70
2025-10-25;Ewelina Wójcik;Upięcie okolicznościowe;Stylizacja;Karolina Bąk;75;150
